12.000000,1.000000,0.250000,0.416667,0.166667,0.166667.1,0.000000,1.000000.1
16.0,2.0,0.0,0.125,0.25,0.375,0.0,1.0
9.0,1.0,0.0,0.0,0.222222,0.555556,0.0,1.0
19.0,2.0,0.0,0.105263,0.210526,0.315789,0.0,1.0
11.0,1.0,0.0,0.181818,0.181818,0.363636,0.0,1.0
14.0,1.0,0.0,0.142857,0.142857,0.5,0.0,1.0
8.0,1.0,0.0,0.25,0.25,0.25,0.0,1.0
11.0,1.0,0.0,0.181818,0.272727,0.272727,0.0,1.0
8.0,0.0,0.0,0.0,0.125,0.25,0.0,1.0
42.0,1.0,0.428571,0.02381,0.119048,0.238095,0.0,1.0
27.0,1.0,0.0,0.037037,0.0,0.185185,0.0,1.0
66.0,2.0,0.0,0.348485,0.060606,0.075758,0.0,1.0
55.0,0.0,0.0,0.127273,0.090909,0.145455,0.0,1.0
36.0,0.0,0.277778,0.055556,0.0,0.416667,0.0,1.0
24.0,0.0,0.25,0.083333,0.0,0.416667,0.0,1.0
33.0,1.0,0.0,0.030303,0.0,0.242424,0.0,1.0
36.0,2.0,0.0,0.0,0.0,0.222222,0.0,1.0
37.0,2.0,0.108108,0.0,0.0,0.162162,0.0,1.0
72.0,2.0,0.055556,0.138889,0.097222,0.180556,0.0,1.0
88.0,2.0,0.045455,0.113636,0.068182,0.25,0.0,1.0
11.0,1.0,0.0,0.272727,0.0,0.545455,0.0,1.0
15.0,1.0,0.0,0.133333,0.0,0.466667,0.0,1.0
8.0,0.0,0.0,0.0,0.0,0.375,0.0,1.0
8.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0
7.0,0.0,0.0,0.0,0.0,0.285714,0.0,1.0
6.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0
6.0,0.0,0.0,0.333333,0.0,0.666667,0.0,1.0
6.0,0.0,0.0,0.166667,0.0,0.833333,0.0,1.0
11.0,0.0,0.0,0.272727,0.0,0.727273,0.0,1.0
22.0,1.0,0.0,0.045455,0.0,0.363636,0.0,1.0
19.0,2.0,0.0,0.052632,0.0,0.421053,0.0,1.0
15.0,0.0,0.4,0.2,0.066667,0.333333,0.0,1.0
57.0,3.0,0.035088,0.385965,0.0,0.140351,0.0,1.0
81.0,2.0,0.024691,0.246914,0.0,0.222222,0.0,1.0
46.0,2.0,0.0,0.173913,0.0,0.26087,0.0,1.0
17.0,1.0,0.0,0.176471,0.0,0.235294,0.0,1.0
39.0,1.0,0.0,0.153846,0.076923,0.282051,0.0,1.0
50.0,1.0,0.0,0.18,0.0,0.3,0.0,1.0
57.0,2.0,0.122807,0.122807,0.0,0.298246,0.0,1.0
47.0,1.0,0.0,0.042553,0.0,0.297872,0.0,1.0
53.0,2.0,0.377358,0.075472,0.0,0.169811,0.0,1.0
29.0,0.0,0.0,0.103448,0.0,0.137931,0.0,1.0
47.0,3.0,0.191489,0.234043,0.0,0.191489,0.0,1.0
51.0,2.0,0.372549,0.45098,0.0,0.098039,0.0,1.0
8.0,0.0,0.0,0.375,0.0,0.625,0.0,1.0
59.0,2.0,0.0,0.033898,0.0,0.237288,0.0,1.0
31.0,1.0,0.0,0.387097,0.096774,0.193548,0.0,1.0
51.0,0.0,0.0,0.294118,0.0,0.176471,0.0,1.0
77.0,0.0,0.038961,0.506494,0.038961,0.285714,0.0,1.0
32.0,1.0,0.0,0.03125,0.0,0.3125,0.0,1.0
52.0,1.0,0.0,0.403846,0.192308,0.192308,0.0,1.0
82.0,1.0,0.0,0.5,0.243902,0.243902,0.0,1.0
39.0,2.0,0.0,0.102564,0.0,0.153846,0.0,1.0
